vol,d_vol,hystery,disp
57.1819,-1913.79,0.296469,5.68859
57.0288,-2130.85,0.290126,5.68335
56.8583,-2343.27,0.283078,5.67699
56.6709,-2552.32,0.275346,5.66952
56.4667,-2758.41,0.266946,5.66095
56.246,-2961.57,0.257892,5.65128
56.0091,-3161.68,0.248201,5.64052
55.7561,-3358.6,0.237888,5.62867
55.4874,-3552.16,0.22697,5.61576
55.2033,-3742.19,0.215466,5.60177
54.9039,-3928.53,0.203392,5.58674
54.5896,-4111.02,0.190769,5.57066
54.2607,-4289.5,0.177617,5.55354
53.9176,-4463.86,0.163954,5.5354
53.5605,-4633.95,0.149802,5.51624
53.1898,-4799.65,0.135182,5.49608
52.8058,-4960.86,0.120116,5.47494
52.4089,-5117.48,0.104624,5.45282
51.9995,-5269.42,0.08873,5.42974
51.578,-5416.58,0.0724548,5.40571
51.1446,-5558.91,0.0558208,5.38075
50.6999,-5696.32,0.0388502,5.35488
50.2442,-5828.78,0.0215651,5.3281
49.7779,-5956.22,0.00398742,5.30045
49.3014,-6078.61,-0.0138608,5.27193
48.8151,-6217.84,-0.032141,5.24256
48.3177,-6367.74,-0.0509633,5.21241
47.8083,-6520.04,-0.0703696,5.18152
47.2867,-6671.82,-0.0903775,5.14991
46.7529,-6617.76,-0.109292,5.1176
46.2235,-6647.52,-0.127835,5.08415
45.6917,-6703.25,-0.146248,5.04988
45.1554,-6764.61,-0.164599,5.01491
44.6143,-6824.56,-0.182903,4.97927
44.0683,-6880.74,-0.201152,4.943
43.5179,-6932.38,-0.219332,4.90611
42.9633,-6979.27,-0.23743,4.86862
42.4049,-7021.38,-0.25543,4.83056
41.8432,-7058.75,-0.273319,4.79195
41.2785,-7091.43,-0.291083,4.7528
40.7112,-7119.49,-0.308711,4.71315
40.1416,-7142.99,-0.32619,4.67302
39.5702,-7161.98,-0.343509,4.63243
38.9972,-7176.54,-0.360658,4.59141
38.4231,-7186.73,-0.377628,4.54999
37.8482,-7192.6,-0.39441,4.50819
37.2728,-7194.22,-0.410996,4.46603
36.6972,-7191.64,-0.427378,4.42355
36.1219,-7184.92,-0.443549,4.38078
35.5471,-7174.12,-0.459502,4.33773
34.9732,-7159.29,-0.475233,4.29444
34.4004,-7140.5,-0.490735,4.25094
33.8292,-7117.78,-0.506003,4.20725
33.2598,-7091.21,-0.521034,4.1634
32.6925,-7060.82,-0.535824,4.11942
32.1276,-7026.68,-0.550368,4.07534
31.5655,-6988.82,-0.564664,4.03118
31.0064,-6947.32,-0.57871,3.98698
30.4506,-6902.2,-0.592502,3.94276
29.8984,-6853.53,-0.606039,3.89855
29.3501,-5725.02,-0.610337,3.85438
28.8921,-5604.01,-0.613832,3.80799
28.4438,-5558.04,-0.617176,3.76214
27.9992,-5514.85,-0.62042,3.71691
27.558,-5469.01,-0.62357,3.67221
27.1205,-5420.15,-0.626626,3.62797
26.6868,-5368.28,-0.62959,3.58416
26.2574,-5313.41,-0.632463,3.54074
25.8323,-5255.59,-0.635248,3.4977
25.4119,-5194.84,-0.637945,3.45503
24.9963,-5131.21,-0.640556,3.41275
24.5858,-5064.72,-0.643083,3.37086
24.1806,-4995.41,-0.645527,3.32938
23.781,-4923.32,-0.647891,3.28832
23.3871,-4848.49,-0.650174,3.2477
22.9992,-4770.96,-0.65238,3.20755
22.6175,-4690.78,-0.65451,3.16788
22.2423,-4607.98,-0.656564,3.12871
21.8736,-4522.61,-0.658546,3.09007
21.5118,-4434.72,-0.660456,3.05198
21.1571,-4344.36,-0.662295,3.01447
20.8095,-4251.57,-0.664066,2.97755
20.4694,-4156.4,-0.66577,2.94125
20.1369,-4058.91,-0.667408,2.90559
19.8122,-3959.15,-0.668982,2.8706
19.4954,-3857.17,-0.670492,2.83629
19.1869,-3753.03,-0.671941,2.80269
18.8866,-3646.79,-0.67333,2.76981
18.5949,-3538.5,-0.674659,2.73769
18.3118,-3428.22,-0.675931,2.70633
18.0375,-3316.02,-0.677146,2.67576
17.7722,-3343.77,-0.679489,2.646
17.5047,-3233.6,-0.681825,2.61736
17.2461,-3110.11,-0.684059,2.5895
16.9972,-2984.06,-0.686184,2.56244
16.7585,-2856.44,-0.688201,2.53619
16.53,-2727.38,-0.690113,2.5108
16.3118,-2596.95,-0.691921,2.48629
16.1041,-2465.23,-0.693626,2.46268
15.9068,-2332.26,-0.695231,2.44
15.7203,-2198.13,-0.696737,2.41827
15.5444,-2062.89,-0.698144,2.39749
15.3794,-1926.62,-0.699456,2.37769
15.2253,-1789.37,-0.700672,2.35888
15.0821,-1651.24,-0.701794,2.34107
14.95,-1512.27,-0.702824,2.32428
14.829,-1372.55,-0.703761,2.30851
14.7192,-1232.14,-0.704607,2.29378
14.6206,-1091.12,-0.705364,2.2801
14.5334,-949.563,-0.706031,2.26747
14.4574,-807.534,-0.706609,2.25591
14.3928,-665.11,-0.7071,2.24542
14.3396,-522.365,-0.707502,2.23601
14.2978,-379.371,-0.707818,2.22768
14.2674,-236.205,-0.708047,2.22043
14.2485,-92.9381,-0.708189,2.21429
14.2411,50.3538,-0.708245,2.20924
14.2451,193.597,-0.708214,2.20528
14.2606,336.716,-0.708098,2.20244
14.2876,509.443,-0.707895,2.20069
14.3283,691.601,-0.707588,2.20005
14.3836,851.85,-0.707171,2.20058
14.4518,1267.32,-0.704509,2.20233
14.5532,1568.73,-0.700549,2.20476
14.6787,1826.66,-0.695649,2.20826
14.8248,2067.44,-0.689944,2.21295
14.9902,2300.83,-0.68349,2.21887
15.1743,2530.4,-0.676311,2.22603
15.3767,2757.37,-0.668418,2.23442
15.5973,2982.11,-0.659821,2.24404
15.8359,3204.66,-0.650529,2.25488
16.0922,3424.93,-0.640548,2.26692
16.3662,3642.79,-0.629888,2.28017
16.6577,3858.12,-0.618558,2.2946
16.9663,4070.75,-0.606565,2.3102
17.292,4280.55,-0.593921,2.32698
17.6344,4487.37,-0.580636,2.34491
17.9934,4691.07,-0.566719,2.36398
18.3687,4891.51,-0.552184,2.38419
18.76,5088.55,-0.53704,2.40551
19.1671,5282.07,-0.521301,2.42794
19.5897,5471.94,-0.504979,2.45146
20.0274,5658.02,-0.488087,2.47605
20.48,5840.2,-0.470639,2.50171
20.9473,6018.35,-0.452648,2.5284
21.4287,6192.37,-0.434128,2.55613
21.9241,6362.13,-0.415094,2.58486
22.4331,6527.53,-0.395562,2.61459
22.9553,6688.47,-0.375545,2.64529
23.4904,6844.83,-0.35506,2.67694
24.038,6996.54,-0.334123,2.70953
24.5977,7143.49,-0.312749,2.74303
25.1692,7285.59,-0.290954,2.77741
25.752,7422.76,-0.268756,2.81267
26.3458,6718.78,-0.253148,2.84878
26.8833,6665.69,-0.238673,2.88748
27.4166,6769.86,-0.223994,2.92692
27.9582,6913.2,-0.208756,2.96674
28.5112,7066.88,-0.192846,3.00692
29.0766,7223.81,-0.176211,3.04751
29.6545,7382.41,-0.158809,3.08854
30.2451,7542.46,-0.140599,3.13004
30.8485,7704.18,-0.12154,3.17202
31.4648,7867.9,-0.101586,3.21449
32.0942,8034.03,-0.0806892,3.25742
32.737,8203.05,-0.0587951,3.30082
